,Malayalam,English
0,പോലെ,like
1,ഞാന്,i am
2,അവന്റെ,His
3,ആ,That
4,അവന്,He
5,എവിടെ,where
6,വേണ്ടി,for
7,ഭക്ഷണം,the food
8,ഉണ്ട്,There is
9,കൂടെ,with
10,അവര്,They are
11,ഭാഗം,part
12,അവസ്ഥ,condition
13,ഒന്ന്,One
14,ശേഷം,After
15,ഈ,This
16,നിന്ന്,from
17,കൊണ്ട്,with
18,തിരികെ,back
19,വാക്ക്,the word
20,പക്ഷേ,But
21,എന്ത്,what
22,കുറെ,quite a bit
23,നഗരം,the city
24,അത്,That
25,വര,line
26,മരം,the tree
27,ഉണ്ടായിരുന്നു,had
28,സഹായം,help
29,ഒരു,a
30,പേര്,name
31,ഒപ്പം,And
32,കാരണം,Because
33,മനുഷ്യൻ,the man
34,ഞങ്ങള്,we
35,കഴിയും,can
36,പുറത്ത്,outside
37,തുടക്കം,the beginning
38,കഥ,the story
39,ഓട്ടം,running
40,ചെയ്യുക,do
41,അവരുടെ,their
42,എങ്കില്,If so
43,എങ്ങനെ,how
44,പറഞ്ഞു,Said
45,രാത്രി,the night
46,ഓരോ,each
47,പറയുന്നു,says
48,ജനം,the people
49,ഗണം,number
50,മൂന്ന്,Three
51,ആഗ്രഹിക്കുന്നു,want to
52,ശബ്ദം,the voice
53,കിണറ്,well
54,പുറമേ,In addition
55,ചെറിയ,small
56,ദിവസം,the day
57,ഇടുക,put
58,അക്കം,digit
59,വായിക്കുക,Read on
60,കൈ,the hand
61,തുറമുഖം,port
62,വലിയ,big
63,അക്ഷരപ്പിശക്,typo
64,ചേർക്കുക,add
65,വസ്തു,object
66,നിലം,the ground
67,ഇവിടെ,Here
68,എഴുതുക,write down
69,വലിയ,big
70,ഉയര്ന്ന,high
71,അത്തരം,Such
72,പിന്തുടരുക,Follow up
73,പ്രവർത്തി,work
74,എന്തുകൊണ്ട്,why
75,ചോദിക്കുക,ask
76,പുരുഷന്മാർ,Men
77,മാറ്റം,change
78,പോയി,gone
79,വെളിച്ചം,the light
80,തരം,type
81,വഴി,way
82,ആവശ്യം,the need
83,വീട്,the house
84,പഴയ,the old
85,ശ്രമിക്കുക,try
86,വലത്,right
87,വീണ്ടും,Again
88,ജന്തു,animal
89,ബിന്ദു,the point
90,അമ്മ,mother
91,ലോകം,the world
92,അടുത്തു,closer
93,സ്വയം,himself
94,ഭൂമി,the earth
95,പിതാവ്,the father
