Malayalam,English
പോലെ,like
ഞാന്,i am
അവന്റെ,His
ആ,That
അവന്,He
എവിടെ,where
വേണ്ടി,for
ഭക്ഷണം,the food
ഉണ്ട്,There is
കൂടെ,with
അവര്,They are
ഭാഗം,part
അവസ്ഥ,condition
ഒന്ന്,One
ശേഷം,After
ഈ,This
നിന്ന്,from
കൊണ്ട്,with
തിരികെ,back
വാക്ക്,the word
പക്ഷേ,But
എന്ത്,what
കുറെ,quite a bit
നഗരം,the city
അത്,That
വര,line
മരം,the tree
ഉണ്ടായിരുന്നു,had
സഹായം,help
ഒരു,a
പേര്,name
ഒപ്പം,And
കാരണം,Because
മനുഷ്യൻ,the man
ഞങ്ങള്,we
കഴിയും,can
പുറത്ത്,outside
തുടക്കം,the beginning
കഥ,the story
ഓട്ടം,running
ചെയ്യുക,do
അവരുടെ,their
കാലം,the time
എങ്കില്,If so
രാജ്യം,country
എങ്ങനെ,how
പറഞ്ഞു,Said
രാത്രി,the night
ഓരോ,each
പറയുന്നു,says
ജനം,the people
ഗണം,number
മൂന്ന്,Three
ആഗ്രഹിക്കുന്നു,want to
ശബ്ദം,the voice
കിണറ്,well
പുറമേ,In addition
കളി,the game
ചെറിയ,small
ദിവസം,the day
ഇടുക,put
അക്കം,digit
വായിക്കുക,Read on
കൈ,the hand
തുറമുഖം,port
വലിയ,big
അക്ഷരപ്പിശക്,typo
ചേർക്കുക,add
വസ്തു,object
നിലം,the ground
ഇവിടെ,Here
എഴുതുക,write down
വലിയ,big
ഉയര്ന്ന,high
അത്തരം,Such
പിന്തുടരുക,Follow up
പ്രവർത്തി,work
എന്തുകൊണ്ട്,why
ചോദിക്കുക,ask
പുരുഷന്മാർ,Men
മാറ്റം,change
പോയി,gone
വെളിച്ചം,the light
തരം,type
വഴി,way
ആവശ്യം,the need
വീട്,the house
പഴയ,the old
ശ്രമിക്കുക,try
വലത്,right
വീണ്ടും,Again
ജന്തു,animal
ബിന്ദു,the point
അമ്മ,mother
ലോകം,the world
അടുത്തു,closer
പണിയുക,build up
സ്വയം,himself
ഭൂമി,the earth
പിതാവ്,the father
